Operation,Operaci¾n
Operation,OperaciÂ¾n
Operation,Operación
Original Security Descriptor,Descriptor de seguridad original
OS-Version,Versión del SO
OS-Version,Versión SO
Package Name (NTLM only),Nombre de paquete (solo NTLM)
Package Name (NTLM only),Nombre de paquete (s¾lo NTLM)
Package Name (NTLM only),Nombre de paquete (sÂ¾lo NTLM)
Password History Length,Longitud de historial de contraseña
Password Last Set,Última contraseña establecida
Password Properties,Propiedades de contraseña
Permissions Change,Cambio de permisos
Port,Puerto
Pre-Authentication Type,Tipo de autenticación previa
Previous Time,Hora anterior
Primary Domain,
Primary Group ID,Id. de grupo primario
Primary Logon ID,
Primary User Name,
Privileges,Privilegios
Process Command Line,Línea de comandos de proceso
Process Command Line,Tipo de elevación
Process ID,Id. de proceso
Process ID,Id. del proceso
Process ID,Identificador de proceso
Process Information,Informaci¾n de proceso
Process Information,InformaciÂ¾n de proceso
Process Information,Información de proceso
Process Name,Nombre de proceso
Process Name,Nombre del proceso
Process,Proceso
Profile Path,Ruta de acceso de perfil
Protocol,Protocolo
Proxy Policy Name,Nombre de directiva de proxy
Quarantine Grace Time,Período de gracia de cuarentena
Quarantine Information,Información de cuarentena
RADIUS Client,Cliente RADIUS
Read Operation,Operación de lectura
Reason Code,Código de motivo
Reason,Motivo
Relative Target Name,Nombre de destino relativo
Resource Manager,Administrador de recursos
Restricted Admin Mode,Modo de administrador restringido
Result Code,Código de resultado
Result,Resultado
RM Transaction ID,Id. de transacción de RM
SAM Account Name,Nombre de cuenta SAM
Script Path,Ruta de acceso de script
Security ID,Id. de seguridad
Security ID,Identificador de seguridad
Server Information,Información de servidor
Server Names,Nombres de servidor
Service ID,Id. de servicio
Service Information,Informaci¾n de servicio
Service Information,InformaciÂ¾n de servicio
Service Information,Información de servicio
Service Name,Nombre de servicio
Service Principal Names,Nombres principales de servicio
Session ID,Id. de sesión
Session Identifier,Identificador de sesión
Share Information,Información de recurso compartido
Share Name,Nombre de recurso compartido
Share Path,Ruta de acceso de recurso compartido
SID History,Historial de SID
SID List,Lista de SID
Signature Settings,Configuración de la firma
Source Address,Dirección de origen
Source Network Address,Direcci¾n de red de origen
Source Network Address,DirecciÂ¾n de red de origen
Source Network Address,Dirección de red de origen
Source Port,Puerto de origen
Source Workstation,Estaci¾n de trabajo de origen
Source Workstation,EstaciÂ¾n de trabajo de origen
Source Workstation,Estación de trabajo de origen
SPN Name,Nombre de SPN
Status,Estado
Sub Status,Subestado
Subject,Asunto
Subject,Firmante
Subject,Sujeto
Subject,Tema
Supplied Realm Name,Nombre de dominio Kerberos proporcionado
Syntax (OID),Sintaxis (OID)
System Event Logging,Registro de eventos del sistema
System Health Validator Result(s),Resultados del validador de mantenimiento del sistema
Target Account ID,
Target Account Name,
Target Account,Cuenta de destino
Target Computer,Equipo de destino
Target Domain,
Target Process ID,Id. de proceso de destino
Target Process Name,Nombre de proceso de destino
Target Process,Proceso de destino
Target Server Name,Nombre de servidor de destino
Target Server,Servidor de destino
Target Subject,Firmante de destino
Target User Name,
Test Signing,Firma de prueba
The domain controller attempted to validate the credentials for an account,El controlador de dominio intent¾ validar las credenciales para una cuenta
The domain controller attempted to validate the credentials for an account,El controlador de dominio intentÂ¾ validar las credenciales para una cuenta
The workstation was locked,La estaci¾n de trabajo estaba bloqueada
The workstation was locked,La estaciÂ¾n de trabajo estaba bloqueada
The workstation was unlocked,La estaci¾n de trabajo estaba desbloqueada
The workstation was unlocked,La estaciÂ¾n de trabajo estaba desbloqueada
Ticket Encryption Type,Tipo de cifrado de vale
Ticket Options,Opciones de vale
Token Elevation Type,Tipo de elevación de token
Transaction ID,Id. de transacción
Transaction Information,Información de transacción
Transited Services,Servicios transitados
Tree Delete,Borrar árbol
Type,Tipo
User Account Control,Control de cuentas de usuario
User Domain,
User ID,Id. de usuario
User Name,Nombre de usuario
User Parameters,Parámetros de usuario
User Principal Name,Nombre principal de usuario
User Workstations,Estaciones de trabajo de usuario
User,Usuario
Value,Valor
Vendor IDs,Id. de proveedor
Virtual Account,Cuenta virtual
VSM Launch Type,Tipo de inicio de VSM
Workstation Name,Nombre de estaci¾n de trabajo
Workstation Name,Nombre de estaciÂ¾n de trabajo
Workstation Name,Nombre de estación de trabajo
Source Account,Source Account
